year;month;rainfall
1985;Nov;72.8
1985;Dec;139.9
1986;Jan;100.7
1986;Feb;121.9
1986;Mar;78.3
1986;Apr;158.1
1986;May;1.2
1986;Jun;8.3
1986;Aug;3.6
1986;Sep;18.7
1986;Oct;55.2
1986;Nov;63.1
1986;Dec;105
1987;Jan;69.9
1987;Feb;140.8
1987;Mar;186.1
1987;Apr;23.7
1987;May;6.5
1987;Jun;5.7
1987;Aug;48.7
1987;Sep;111.9
1987;Oct;70.5
1987;Nov;67
1987;Dec;171.4
1988;Jan;62.5
1988;Feb;112.3
1988;Mar;147.8
1988;Apr;40.8
1988;May;2.4
1988;Jun;10.7
1988;Jul;5.4
1988;Aug;8
1988;Sep;80
1988;Oct;138.3
1988;Nov;76.9
1988;Dec;127.2
1989;Jan;45.3
1989;Feb;179.3
1989;Mar;28.6
1989;Apr;26.3
1989;May;12.7
1989;Jun;55.3
1989;Aug;2.2
1989;Sep;5.1
1989;Oct;88.6
1989;Nov;175.8
1989;Dec;206.9
1990;Jan;161.5
1990;Feb;187.1
1990;Mar;129.6
1990;Apr;85.2
1990;May;3.8
1990;Jul;7.3
1990;Aug;7.3
1990;Sep;1.4
1990;Oct;79.5
1990;Nov;49.7
1990;Dec;109.5
1991;Jan;268.8
1991;Feb;115.7
1993;Jul;6.4
1993;Aug;41.8
1993;Sep;10.6
1993;Oct;22
1993;Nov;64.8
1993;Dec;62.6
1994;Jan;81
1994;Feb;38.4
1994;Mar;120
1994;Apr;22
1994;May;3.8
1994;Aug;2.6
1994;Sep;13.6
1994;Oct;85.6
1994;Nov;84
1994;Dec;51.4
1995;Jan;130.2
1995;Feb;21
1995;Mar;89.4
1995;Apr;65.2
1995;May;2.4
1995;Aug;16
1995;Sep;2.4
1995;Oct;58
1995;Nov;159.8
1995;Dec;172.6
1996;Jan;246.6
1996;Feb;416.6
1996;Mar;143.6
1996;Apr;28.2
1996;May;66
1996;Jul;20.8
1996;Aug;32.8
1996;Sep;1.4
1996;Oct;50.2
1996;Nov;102.8
1996;Dec;96
1997;Jan;86.2
1997;Feb;38.4
1997;Mar;165.4
1997;Apr;64.4
1997;May;33.8
1997;Jun;10
1997;Jul;19.2
1997;Aug;7.4
1997;Sep;86.6
1997;Oct;33
1997;Nov;134.4
1997;Dec;20.2
1998;Jan;82.6
1998;Feb;58.8
1998;Mar;77.2
1998;Apr;11
1998;Jun;0.4
1998 ;Jul;3.6
1998;Aug;7
1998;Sep;42.4
1998;Oct;122
1998;Nov;42.8
1998;Dec;87.2
1999;Jan;90.6
1999;Feb;144
1999;Mar;210
1999;Apr;37.6
1999;May;22.6
1999;Jul;10.8
1999;Aug;25.6
1999;Sep;24.4
1999;Oct;23.4
1999;Nov;67.6
1999;Dec;54
2000;Jan;160.4
2000;Feb;393.4
2000;Mar;216.6
2000;Apr;145.4
2000;Jun;16.2
2000;Jul;3.2
2000;Aug;0.2
2000;Sep;25
2000;Oct;37.8
2000;Nov;179.4
2000;Dec;183.1
2001;Jan;11.6
2001;Feb;135.4
2001;Mar;21.8
2001;Apr;23
2001;May;12.6
2001;Jun;9
2001;Jul;9.6
2001;Sep;5.6
2001;Oct;82.8
2001;Nov;219.2
2001;Dec;85.8
2002;Jan;18
2002;Feb;74.2
2002;Mar;43.4
2002;Apr;68.8
2002;May;0.4
2002;Jun;0.6
2002;Jul;20.4
2002;Aug;4.3
2002;Sep;15.4
2002;Oct;108.4
2002;Nov;37.8
2002;Dec;161
2003;Jan;64.4
2003;Feb;66.8
2003;Mar;16.6
2003;Apr;26.8
2003;May;0.4
2003;Jun;0.2
2003;Oct;27.6
2003;Nov;49.4
2003;Dec;48.8
2004;Jan;65.2
2004;Feb;98.4
2004;Mar;135.2
2004;Apr;48.6
2004;May;4.4
2004;Jun;4.2
2004;Jul;29
2004;Aug;1.2
2004;Sep;15.2
2004;Oct;24.8
2004;Nov;104.2
2004;Dec;76.4
2005;Jan;190.2
2005;Feb;69.2
2005;Mar;89.4
2005;Apr;13.6
2005;May;5.2
2005;Jul;10
2005;Aug;5.8
